0,term2599 df=119 cf=145
00,term6548 df=47 cf=53
000,term1165 df=287 cf=438
005,term17254 df=1 cf=1
01,term1024 df=44 cf=44
018,term12137 df=1 cf=1
0195,term18443 df=1 cf=1
02,term3867 df=55 cf=55
03,term4067 df=46 cf=46
039,term9786 df=1 cf=1
04,term601 df=45 cf=45
040,term24660 df=1 cf=1
042,term27262 df=1 cf=1
0483,term27514 df=1 cf=1
05,term4131 df=45 cf=45
06,term9140 df=42 cf=42
065,term7183 df=1 cf=1
07,term558 df=47 cf=47
08,term2416 df=43 cf=43
081,term25816 df=1 cf=1
085,term20817 df=1 cf=1
086,term18941 df=1 cf=1
09,term4139 df=51 cf=51
092,term20527 df=2 cf=2
0os,term23900 df=1 cf=1
1,term91 df=1230 cf=1476
10,term675 df=765 cf=839
100,term1166 df=75 cf=79
1000,term19288 df=7 cf=7
100th,term11401 df=3 cf=3
101,term6319 df=4 cf=4
1010a,term27088 df=1 cf=1
1011,term29397 df=1 cf=1
102,term12317 df=6 cf=6
1020,term23646 df=1 cf=1
1023,term15956 df=1 cf=1
103,term20688 df=2 cf=2
104,term11306 df=1 cf=1
105,term7032 df=10 cf=11
1050,term18808 df=2 cf=2
106,term9703 df=3 cf=5
1062,term24999 df=1 cf=1
107,term11589 df=4 cf=4
108,term6320 df=4 cf=4
1083,term21629 df=1 cf=1
109,term19047 df=3 cf=3
10s,term19468 df=1 cf=1
10th,term5387 df=16 cf=20
11,term13 df=398 cf=419
110,term12017 df=5 cf=5
1100,term18676 df=3 cf=10
1102,term27778 df=1 cf=1
1103,term25475 df=1 cf=1
1107,term14540 df=3 cf=3
1108,term20141 df=3 cf=4
110th,term12417 df=1 cf=1
111,term20814 df=1 cf=1
112,term16411 df=2 cf=2
113,term10475 df=2 cf=2
114,term10847 df=2 cf=2
115,term3169 df=7 cf=7
1157,term21350 df=1 cf=1
116,term20355 df=4 cf=4
117,term13547 df=8 cf=8
118,term16924 df=5 cf=5
119,term24627 df=2 cf=2
1191,term27605 df=1 cf=1
11s,term19469 df=1 cf=1
11th,term4603 df=14 cf=15
12,term676 df=524 cf=554
120,term4184 df=14 cf=14
1200,term10808 df=3 cf=3
121,term4302 df=5 cf=5
122,term10936 df=3 cf=3
1221,term22470 df=1 cf=1
123,term4265 df=8 cf=8
124,term25421 df=4 cf=5
125,term17012 df=5 cf=5
126,term13299 df=1 cf=1
127,term9928 df=3 cf=3
128,term19840 df=2 cf=2
128kb,term13638 df=1 cf=1
129,term24943 df=2 cf=2
1292,term24408 df=1 cf=1
12th,term13833 df=9 cf=9
13,term1606 df=425 cf=436
130,term20730 df=6 cf=6
1300th,term19865 df=1 cf=1
1301,term26883 df=1 cf=1
131,term24795 df=3 cf=3
1310,term24870 df=1 cf=1
1311,term27890 df=1 cf=1
132,term12716 df=2 cf=2
133,term1944 df=4 cf=4
134,term20056 df=6 cf=6
135,term7085 df=7 cf=7
135th,term17249 df=1 cf=1
136,term16768 df=4 cf=4
137,term15006 df=3 cf=3
138,term23715 df=1 cf=1
139,term10253 df=4 cf=4
1396,term20239 df=1 cf=1
13th,term18933 df=1 cf=1
14,term14 df=382 cf=391
140,term13809 df=12 cf=12
1400,term8748 df=4 cf=4
1401,term6545 df=6 cf=11
1403,term29158 df=1 cf=1
141,term29164 df=1 cf=1
1410,term15987 df=3 cf=3
142,term12821 df=4 cf=4
143,term5827 df=4 cf=4
144,term14142 df=1 cf=1
1440,term27891 df=1 cf=2
1447,term24286 df=1 cf=1
145,term14219 df=7 cf=7
1455,term21757 df=2 cf=2
146,term7328 df=2 cf=2
147,term6736 df=4 cf=4
1470s,term14610 df=1 cf=1
1471,term24287 df=1 cf=1
1473,term14611 df=1 cf=1
1475,term14612 df=2 cf=2
1476,term14613 df=1 cf=2
1477,term14614 df=1 cf=1
148,term21554 df=3 cf=3
1484,term14615 df=2 cf=2
1485,term21758 df=1 cf=1
149,term3240 df=5 cf=5
1499,term14616 df=1 cf=1
14th,term5388 df=16 cf=16
15,term92 df=312 cf=326
150,term8097 df=20 cf=20
1500,term9343 df=6 cf=6
1505,term10875 df=1 cf=1
150th,term28496 df=1 cf=1
151,term11332 df=2 cf=2
1515,term24827 df=1 cf=1
152,term22070 df=2 cf=2
153,term11333 df=5 cf=5
1534,term28172 df=1 cf=1
1535,term27810 df=1 cf=1
154,term12564 df=3 cf=3
1545,term19777 df=1 cf=1
155,term14516 df=2 cf=2
1550,term29473 df=1 cf=1
