0,term2470 df=114 cf=137
00,term6150 df=44 cf=50
000,term1478 df=277 cf=402
005,term16717 df=1 cf=1
01,term991 df=43 cf=43
018,term11544 df=1 cf=1
0195,term17912 df=1 cf=1
02,term3646 df=57 cf=57
03,term3851 df=44 cf=44
039,term9218 df=1 cf=1
04,term5107 df=42 cf=42
042,term27116 df=1 cf=1
0483,term27369 df=1 cf=1
05,term3896 df=43 cf=43
06,term8600 df=38 cf=38
065,term6750 df=1 cf=1
07,term547 df=45 cf=45
08,term2281 df=41 cf=41
081,term25679 df=1 cf=1
084,term24445 df=1 cf=1
085,term20331 df=1 cf=1
086,term18435 df=1 cf=1
09,term3903 df=48 cf=48
092,term20052 df=2 cf=2
0os,term23604 df=1 cf=1
1,term83 df=1218 cf=1756
10,term655 df=729 cf=796
100,term3620 df=66 cf=69
1000,term10662 df=6 cf=6
100th,term10813 df=3 cf=3
101,term5921 df=4 cf=4
1010a,term26961 df=1 cf=1
1011,term29436 df=1 cf=1
102,term11728 df=6 cf=6
1020,term23322 df=1 cf=1
1023,term15385 df=1 cf=1
103,term20193 df=2 cf=2
104,term10728 df=1 cf=1
105,term6618 df=9 cf=10
1050,term18286 df=2 cf=2
106,term9156 df=3 cf=5
1062,term24818 df=1 cf=1
107,term10993 df=4 cf=4
108,term5922 df=3 cf=3
109,term18558 df=3 cf=3
10s,term18984 df=1 cf=1
10th,term5058 df=12 cf=16
11,term12 df=379 cf=403
110,term11430 df=5 cf=5
1100,term18985 df=2 cf=9
1102,term27636 df=1 cf=1
1103,term25320 df=1 cf=1
1107,term13959 df=3 cf=3
1108,term19668 df=3 cf=4
110th,term11840 df=1 cf=1
111,term20328 df=1 cf=1
112,term15859 df=2 cf=2
113,term9875 df=2 cf=2
114,term10218 df=2 cf=2
115,term3014 df=7 cf=7
1157,term20878 df=1 cf=1
116,term19895 df=4 cf=4
117,term12971 df=8 cf=8
118,term16369 df=5 cf=5
119,term24425 df=2 cf=2
1191,term27462 df=1 cf=1
11s,term18986 df=1 cf=1
11th,term4347 df=12 cf=12
12,term656 df=501 cf=531
120,term3952 df=12 cf=12
1200,term10169 df=3 cf=3
121,term4061 df=3 cf=3
122,term10328 df=3 cf=3
1221,term22021 df=1 cf=1
123,term4028 df=8 cf=8
124,term25261 df=4 cf=5
125,term23204 df=3 cf=3
126,term12697 df=1 cf=1
127,term9366 df=2 cf=2
128,term19363 df=2 cf=2
128kb,term13071 df=1 cf=1
129,term24740 df=2 cf=2
1292,term24180 df=1 cf=1
12th,term13267 df=7 cf=7
13,term1544 df=416 cf=427
130,term20229 df=3 cf=3
1300th,term19382 df=1 cf=1
1301,term26765 df=1 cf=1
130th,term21848 df=1 cf=1
131,term24580 df=3 cf=3
1310,term24667 df=1 cf=1
1311,term27746 df=1 cf=1
132,term12140 df=2 cf=2
133,term1834 df=4 cf=4
134,term19588 df=6 cf=6
135,term6655 df=7 cf=7
135th,term16712 df=1 cf=1
136,term16198 df=4 cf=4
137,term14417 df=3 cf=3
138,term23405 df=1 cf=1
139,term9684 df=3 cf=3
1396,term19781 df=1 cf=1
13t,term18427 df=1 cf=1
14,term13 df=364 cf=375
140,term13246 df=12 cf=12
1400,term8238 df=4 cf=4
1401,term6148 df=6 cf=11
1403,term29146 df=1 cf=1
141,term29149 df=1 cf=1
1410,term15413 df=3 cf=3
142,term12254 df=4 cf=4
143,term5468 df=3 cf=3
143th,term12066 df=1 cf=1
144,term13539 df=1 cf=1
1440,term27747 df=1 cf=2
1447,term24025 df=1 cf=1
145,term13634 df=7 cf=7
1455,term21288 df=2 cf=2
146,term6878 df=2 cf=2
147,term6305 df=4 cf=4
1470s,term14018 df=1 cf=1
1471,term24026 df=1 cf=1
1473,term14019 df=1 cf=1
1475,term14020 df=2 cf=2
1476,term14021 df=1 cf=2
1477,term14022 df=1 cf=1
148,term21113 df=3 cf=3
1484,term24027 df=1 cf=1
1485,term21289 df=1 cf=1
149,term3084 df=5 cf=5
14th,term5059 df=18 cf=18
15,term84 df=289 cf=304
150,term9475 df=17 cf=17
1500,term8793 df=4 cf=5
1505,term10258 df=1 cf=1
151,term10751 df=2 cf=2
1515,term24614 df=1 cf=1
152,term21602 df=2 cf=2
153,term10752 df=5 cf=5
1534,term28046 df=1 cf=1
1535,term27671 df=1 cf=1
154,term11968 df=3 cf=3
155,term13928 df=2 cf=2
1550,term29522 df=1 cf=1
156,term6595 df=2 cf=2
1564,term27517 df=1 cf=1
157,term5538 df=4 cf=4
1572,term14213 df=1 cf=1
